Question,Option1,Option2,Option3,Option4,Answer
What is the capital of Japan?,Beijing,Seoul,Tokyo,Hanoi,C
Which element has the chemical symbol "H"?,Helium,Hydrogen,Hassium,Hafnium,B
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
Which programming language is known for its simplicity and readability?,Java,Python,C++,Ruby,B
In Greek mythology who is the god of the sea?,Ares,Posidon,Apollo,Zeus,B
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,B
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,Thailand,B
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
Who was the first woman to win a Nobel Prize?,Marie Curie,Ada Lovelace,Rosalind Franklin,Grace Hopper,A
What is the currency of Brazil?,Peso,Real,Baht,Rupee,B
Which planet is known as the "Blue Planet"?,Mars,Earth,Venus,Saturn,B
Who painted "Starry Night"?,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci,B
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
Who is the lead vocalist of the band Queen?,John Lennon,Freddie Mercury,Elvis Presley,David Bowie,B
Which famous scientist developed the theory of evolution by natural selection?,Isaac Newton,Charles Darwin,Galileo Galilei,Nikola Tesla,B
What is the largest organ in the human body?,Heart,Liver,Skin,Lungs,C
Who wrote "1984"?,George Orwell,George Eliot,Jane Austen,Mark Twain,A
Which country is known as the Land of the Midnight Sun?,Norway,Sweden,Finland,Denmark,C
In which year did the Titanic sink?,1910,1912,1915,1920,B
