Question,Option1,Option2,Option3,Option4,Answer
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B
What is the currency of Japan?,Yen,Ringgit,Ruble,Dollar,A
Which element has the chemical symbol "O"?,Oxygen,Gold,Silver,Iron,A
What is the capital of France?,Berlin,Paris,London,Madrid,B
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Joseph Lister,B
In which year did the Berlin Wall fall?,1985,1989,1991,1995,B
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,B
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Claude Monet,Pablo Picasso,B
Which planet is known as the "Red Planet"?,Mars,Venus,Mercury,Saturn,A
Who wrote "To Kill a Mockingbird"?,J.K. Rowling,Harper Lee,George Orwell,Mark Twain,B
What is the currency of South Korea?,Won,Ringgit,Rupiah,Yen,A
Who is known as the "Father of Computer Science"?,Ada Lovelace,Alan Turing,Charles Babbage,John von Neumann,B
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
Who composed the "Moonlight Sonata"?,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Frederic Chopin,B
Which country is known as the "Land of the Rising Sun"?,China,Japan,South Korea,Thailand,B
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
What is the capital of Brazil?,Buenos Aires,Bogota,Rio de Janeiro,Brasilia,D
Which African country was formerly known as Abyssinia?,Nigeria,Egypt,Ethiopia,South Africa,C
In what year did World War II end?,1943,1945,1950,1939,B
Who is the lead vocalist of the band Queen?,John Lennon,Freddie Mercury,Elvis Presley,David Bowie,B
